category,description,qualification,requirement,Keywords
Data Scientist,"As a Data Scientist, your role involves close collaboration with product design and engineering teams to understand their needs. You will conduct research, devising innovative statistical models for data analysis, and subsequently build and integrate these models into our products. Effective communication of your findings to all stakeholders is crucial, contributing directly to decision-making processes. Additionally, your commitment to staying current with technical and industry developments is essential to ensuring ongoing innovation. If you are passionate about data analysis, enjoy collaboration, and thrive on contributing to product enhancement, we invite you to join our team where your insights will play a key role in shaping our products and processes.","Bachelor’s degree (or equivalent) in statistics, technology, applied mathematics, or related discipline.
Professional certification
3-5 years of experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced experience in pattern recognition and predictive modeling
Experience with Excel, PowerPoint, SQL, and Python
Experience in building data science models using Spacy, BERT, Ahocorasick, random forest etc.
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects.",,"['join', 'powerpoint', 'models', 'team', 'commitment', 'devising innovative statistical models', 'effective communication', 'ahocorasick', 'bachelor ’', 'key role', 'findings', 'thrive', 'enjoy collaboration', 'experience', 'bert', 'mathematics', 'insights', 'industry developments', 'nan', 'integrate', 'essential', 'crucial', 'stakeholders', 'predictive modeling experience', 'contributing directly', 'oriented group', 'research', 'needs', 'data mining', 'engineering teams', 'work effectively', 'technology', 'pattern recognition', 'decision', 'data science proficiency', 'degree', 'ensuring ongoing innovation', 'making processes', 'products', 'subsequently build', 'several concurrent projects', 'python experience', 'ability', 'sql', 'random forest etc', 'passionate', 'staying current', 'contributing', 'related discipline', 'excel', 'product design', 'dynamic', 'additionally', 'equivalent', 'role involves close collaboration', 'technical', 'data analysis', 'professional certification 3', 'applied mathematics', 'play', 'processes', '5 years', 'statistics', 'building data science models using spacy', 'shaping', 'conduct research', 'data scientist', 'invite', 'product enhancement', 'statistical analysis advanced experience', 'understand']"
Python Developer,"This is a full-time remote role for a Python Developer. The Python Developer will be responsible for developing software and web applications, including back-end web development and databases. The Developer will also be responsible for programming, testing, and debugging applications in adherence to software development life cycle (SDLC) standards.","Experience in Back-End Web Development and Software Development
Strong Object-Oriented Programming (OOP) skills
Experience with programming languages such as Python, Java, and C++
Experience in database design, development, and management
Strong problem-solving and analytical skills
Bachelor's degree in Computer Science, Software Engineering or related field
Experience working with Agile software development methodologies is a plus",Python Developer,"['developer', 'databases', 'programming languages', 'software development strong object', 'debugging applications', 'sdlc', 'java', 'responsible', 'c ++ experience', 'experience', 'software engineering', 'related field experience working', 'development', 'degree', 'management strong problem', 'database design', 'oop', 'also', 'end web development', 'testing', 'back', 'oriented programming', 'skills experience', 'computer science', 'developing software', 'programming', 'analytical skills bachelor', 'web applications', 'including back', 'agile software development methodologies', 'plus', 'adherence', 'solving', 'full', 'time remote role', 'python developer', 'python', 'software development life cycle', 'standards']"
Python Developer,"As a Backend Software Developer at Think Huge Limited, you will play a crucial role in the development and maintenance of our hosting infrastructure, as well as creating and enhancing web applications. Your responsibilities will include collaborating with cross-functional teams, designing and implementing software solutions, and ensuring the scalability, performance, and reliability of our systems.
","Proven experience as a Backend Software Developer, with a strong focus on PHP and Python.
Commercial experience with Laravel and other PHP frameworks is highly beneficial.
Basic knowledge of servers, virtualization, and networking concepts, especially in a hosting environment.
Proficiency in Bash, Perl, and Python is a significant advantage.
Strong understanding of MySQL and database design principles.
Familiarity with Test-Driven Development (TDD) and experience using PHPUnit.
Proficiency with GitHub for version control and collaborative development.
Experience using Postman for API testing.
Excellent problem-solving skills and the ability to work well in a team.",,"['version control', 'include collaborating', 'creating', 'test', 'responsibilities', 'think huge limited', 'team', 'crucial role', 'ensuring', 'experience using postman', 'excellent problem', 'designing', 'php frameworks', 'enhancing web applications', 'api testing', 'basic knowledge', 'bash', 'implementing software solutions', 'solving skills', 'github', 'perl', 'nan', 'functional teams', 'database design principles', 'reliability', 'strong understanding', 'strong focus', 'scalability', 'development', 'commercial experience', 'proven experience', 'proficiency', 'work well', 'maintenance', 'especially', 'ability', 'servers', 'collaborative development', 'networking concepts', 'laravel', 'driven development', 'performance', 'mysql', 'virtualization', 'well', 'cross', 'backend software developer', 'play', 'tdd', 'significant advantage', 'experience using phpunit', 'hosting environment', 'familiarity', 'php', 'highly beneficial', 'systems', 'python', 'hosting infrastructure']"
Business Analyst,"We are seeking a motivated and detail-oriented Business Analyst Intern to join our team. This internship provides a unique opportunity to gain hands-on experience in analyzing business processes, eliciting and documenting requirements, and contributing to the success of projects within a dynamic and collaborative environment.
","Currently pursuing a degree in Computer Science, Business Administration, Information Systems, or a related field.
 Enthusiastic about pursuing a career in business analysis.
 Strong attention to detail and organizational skills.
 Proficient in Microsoft Office tools (Excel, Word, PowerPoint).
 Eagerness to learn and adapt to new challenges."," Strong analytical and problem-solving skills.
 Excellent communication and interpersonal skills.
 Ability to work independently and collaboratively in a team.
 Basic understanding of business processes and systems.
 Eagerness to learn and contribute to various aspects of business analysis.","['join', 'interpersonal skills', 'enthusiastic', 'strong attention', 'team', 'strong analytical', 'proficient', 'collaboratively', 'projects within', 'success', 'contribute', 'documenting requirements', 'experience', 'solving skills', 'eliciting', 'business administration', 'detail', 'seeking', 'information systems', 'basic understanding', 'related field', 'business analysis', 'analyzing business processes', 'degree', 'learn', 'gain hands', 'eagerness', 'unique opportunity', 'ability', 'pursuing', 'excel', 'contributing', 'excellent communication', 'motivated', 'powerpoint ).', 'collaborative environment', 'organizational skills', 'dynamic', 'computer science', 'career', 'problem', 'work independently', 'currently pursuing', 'various aspects', 'microsoft office tools', 'adapt', 'oriented business analyst intern', 'business processes', 'internship provides', 'systems', 'word', 'new challenges']"
Software Developer,"We are seeking a software developer intern who is passionate about developing high-quality software products. The intern will work closely with the founding team to design, develop, test and deploy software solutions. This is a great opportunity for individuals who want to gain hands-on experience and learn from experienced professionals in the field.
","Previous experience in software development or related field
Familiarity with Agile/Scrum methodology
Strong communication skills","Pursuing a degree in Computer Science or related field
Strong programming skills in at least one programming language (Java, Python,C#,Rust etc.)
Familiarity with databases and SQL
Knowledge of software development life cycle (SDLC)
Excellent problem-solving skills
Ability to work in a team environment","['work', 'databases', 'test', 'design', 'scrum methodology strong communication skills', 'least one programming language', 'sdlc', 'java', 'excellent problem', 'c #, rust etc .)', 'previous experience', 'work closely', 'team environment', 'experience', 'quality software products', 'sql knowledge', 'seeking', 'degree', 'related field familiarity', 'founding team', 'field', 'develop', 'want', 'learn', 'gain hands', 'great opportunity', 'agile', 'pursuing', 'passionate', 'individuals', 'related field strong programming skills', 'experienced professionals', 'software development', 'software developer intern', 'computer science', 'solving skills ability', 'deploy software solutions', 'familiarity', 'python', 'software development life cycle', 'intern', 'developing high']"
Machine Learning Engineer,We are seeking a visionary Machine Learning Engineer with a strong understanding of the Salesforce platform. This role presents a unique opportunity to combine your technical expertise with your Salesforce knowledge to create groundbreaking AI-powered solutions.,"MSc in Computer Science, Engineering, or related field (or equivalent experience).
7+ years of experience as a Machine Learning Engineer or similar role.
Comprehensive understanding of the Salesforce platform and Einstein capabilities.
Experience with Salesforce development tools and APIs.
Proficiency in Python and other relevant programming languages (R, SQL).
Strong understanding of machine learning algorithms, data preprocessing, and model evaluation.
Ability to translate business needs into technical requirements.
Excellent communication and collaboration skills.
Strong analytical and problem-solving abilities.
Passion for innovation and continuous learning. ",,"['comprehensive understanding', 'strong analytical', 'apis', 'engineering', 'experience', 'msc', 'create groundbreaking ai', 'salesforce platform', 'nan', 'strong understanding', 'technical expertise', 'combine', 'seeking', 'solving abilities', 'similar role', 'related field', 'equivalent experience ).', 'technical requirements', 'proficiency', 'machine learning engineer', 'collaboration skills', 'unique opportunity', 'einstein capabilities', 'ability', 'salesforce development tools', 'machine learning algorithms', 'r', 'continuous learning', 'excellent communication', '7', 'powered solutions', 'role presents', 'visionary machine learning engineer', 'computer science', 'problem', 'passion', 'sql ).', 'data preprocessing', 'relevant programming languages', 'salesforce knowledge', 'innovation', 'years', 'translate business needs', 'python', 'model evaluation']"
Python Developer,"As a Python Developer at our company, you will play a key role in the design, development, and maintenance of high-quality software solutions. You will work closely with cross-functional teams to deliver innovative products that meet our clients' needs.
","Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
Proven experience as a Python Developer or similar role.
Strong understanding of object-oriented programming and data structures.
Experience with SQL and database design.
Experience with version control systems, such as Git.
Familiarity with front-end technologies like HTML, CSS, and JavaScript.
Ability to work in a collaborative team environment.
Excellent problem-solving and analytical skills.
Experience with Agile methodologies and tools.
Knowledge of software testing and debugging.",,"['work', 'knowledge', 'design', 'javascript', 'css', 'excellent problem', 'software testing', 'work closely', 'company', 'key role', 'master', 'experience', 'engineering', 'nan', 'analytical skills', 'functional teams', 'strong understanding', 'version control systems', 'deliver innovative products', 'needs', 'development', 'similar role', 'related field', 'degree', 'quality software solutions', 'proven experience', 'agile methodologies', 'database design', 'maintenance', 'ability', 'clients', 'sql', 'bachelor', 'meet', 'debugging', 'high', 'end technologies like html', 'git', 'oriented programming', 'computer science', 'cross', 'collaborative team environment', 'play', 'solving', 'familiarity', 'data structures', 'object', 'tools', 'front', 'python developer']"
DATA ENGINEER,"Aws data lake and AWS data hub and AWS cloud platform. Able to enrich data by data transformation and joining with other datasets. Able to analyze data and derive statistical insights. Able to convey story through data visualization. Ability to build Data pipelines for diverse interfaces. Good understating of API workflow. Good written and verbal communication skills Good Team player. Strong analytical and logical reasoning skills. Se If-motivated, Ability to complete assignments i independently. Ability to make decisions. Ability to work effectively under stress. Flexible towork in global time zones. Ability to work with wider spectrum of stakeholders and senior managements.",,,"['work', 'strong analytical', 'build data pipelines', 'aws data hub', 'good understating', 'data transformation', 'aws data lake', 'good written', 'analyze data', 'complete assignments', 'data visualization', 'nan', 'independently', 'derive statistical insights', 'stakeholders', 'datasets', 'senior managements', 'stress', 'work effectively', 'api workflow', 'global time zones', 'diverse interfaces', 'ability', 'flexible towork', 'wider spectrum', 'motivated', 'enrich data', 'se', 'verbal communication skills good team player', 'joining', 'make decisions', 'aws cloud platform', 'convey story', 'able', 'logical reasoning skills']"
Full Stack Developer,"We are seeking a passionate and talented Entry-Level Full Stack Developer to join our dynamic team. In this role, you will have the opportunity to work on cutting-edge technologies and contribute to the development of high-quality web and mobile applications. Your primary focus will be on developing backend services using Node.js, Fastly, and Fauna, and building user-friendly front-end interfaces with Flutter and Dart.","Bachelor’s degree in Computer Science, Information Technology, or a related field (or equivalent experience).
Understanding of Node.js, Fastly, and Fauna for backend development.
Familiarity with Flutter and Dart for front-end development.
Strong problem-solving skills and attention to detail.
Eagerness to learn, adapt, and work in a fast-paced environment.
Good communication skills and ability to work effectively in a team.
Basic understanding of version control systems like Git.",,"['work', 'building user', 'join', 'mobile applications', 'version control systems like git', 'flutter', 'strong problem', 'team', 'backend development', 'good communication skills', 'bachelor ’', 'attention', 'fauna', 'contribute', 'solving skills', 'paced environment', 'nan', 'detail', 'talented entry', 'end interfaces', 'seeking', 'development', 'related field', 'work effectively', 'developing backend services using node', 'equivalent experience ).', 'basic understanding', 'degree', 'learn', 'ability', 'dart', 'quality web', 'js', 'passionate', 'high', 'node', 'cutting', 'opportunity', 'dynamic team', 'primary focus', 'computer science', 'fastly', 'level full stack developer', 'edge technologies', 'fast', 'friendly front', 'familiarity', 'information technology', 'adapt', 'end development', 'front', 'eagerness', 'understanding', 'role']"
AI Developer,"Candidates with 3+ year of experience into the same domain is preferred.

Salary hike will be given on the basis of previous experience and interview procedure and tasks.","A bachelors degree in computer science

Minimum 3+years of proficience in-hand experience in python.

Strong project management skills.

Hands on experience on other back-end languages such as react.js

Familiarity with database technologies of Machine learning.

Hands on experience of AI and ML libraries and frameworks such as TensorFlow, Scikit learn and PyTorch.",,"['year', 'hands', 'previous experience', 'hand experience', 'ai', 'experience', 'preferred', 'proficience', '3', 'nan', 'database technologies', 'js familiarity', 'frameworks', 'strong project management skills', 'react', 'scikit learn', 'tasks', 'salary hike', 'given', 'ml libraries', 'back', 'domain', 'candidates', 'machine learning', 'tensorflow', 'basis', 'bachelors degree', 'end languages', 'years', 'pytorch', 'python', 'computer science minimum 3', 'interview procedure']"
Systems Software Engineering,We are looking for a Systems Software Engineering Intern! Are you passionate about Imaging systems? Do you want to explore and be part of a highly innovative and creative global Imaging Team? Then this is the opportunity you should be looking for. We at NVIDIA will provide you opportunity to explore your passion and work on the newest technology collaborating with industry authorities.,"We are searching for highly self-motivated and dedicated engineer with strong academic background.
Good understanding of Operating system fundamental, programming languages and processor architecture.
Excellent C/C++ coding skills along with proficiency in Scripting languages like Python.
Experience of working and programming on Linux environment.
We expect effective communication and team work along with good problem solving and analytical skills.
BE/B.Tech/ME/M.Tech in Compute Science/ Electrical Engineering or equivalent with strong verbal and written skills.",,"['work', 'programming languages', 'expect effective communication', 'tech', 'good understanding', 'b', 'processor architecture', 'operating system fundamental', 'written skills', 'experience', 'excellent c', 'nvidia', 'nan', 'analytical skills', 'explore', 'scripting languages like python', 'dedicated engineer', 'strong academic background', 'imaging systems', 'want', 'proficiency', 'looking', 'c ++ coding skills along', 'electrical engineering', 'newest technology collaborating', 'passionate', 'strong verbal', 'motivated', 'creative global imaging team', 'opportunity', 'working', 'compute science', 'equivalent', 'systems software engineering intern', 'programming', 'searching', 'good problem solving', 'passion', 'part', 'linux environment', 'highly innovative', 'provide', 'highly self', 'team work along', 'industry authorities']"
Python Developer,"
We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.

Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.

Ultimately, you’ll build highly responsive web applications that align with our business needs.","Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Team spirit
Good problem-solving skills",,"['join', 'role', 'build highly responsive web applications', 'knowledge', 'team', 'relational mapping', 'testing code', 'align', 'least one popular python framework', 'solving skills', 'orm', 'nan', 'like django', 'like javascript', 'successful', 'team spirit good problem', 'end technologies', 'maintain various software products', 'side logic', 'party web services', 'work well', 'looking', 'debugging programs', 'business needs', 'integrating applications', '’', 'work experience', 'python developer responsibilities include writing', 'html5', 'familiarity', 'flask', 'engineering team', 'object', 'ultimately', 'python developer expertise', 'pyramid', 'front', 'help us develop', 'python developer', 'experience using server', 'third']"
