category,description,qualification,requirement,Keywords
Frontend Developer,"Join a top gaming studio as a Frontend Developer and shape the visual experience of our gaming products. As a key member of our team, you'll be responsible for designing and implementing captivating user interfaces that enhance gameplay and player engagement. Collaborate with passionate game developers and artists to create immersive gaming experiences. If you're a creative coder with a passion for gaming, apply now to play a pivotal role in crafting the future of interactive entertainment. Level up your career today!
","Bachelor's degree in Computer Science, Software Engineering, or a related field.
Proficiency in HTML, CSS, and JavaScript, with expertise in modern frontend frameworks such as React, Angular, or Vue.js.
Strong problem-solving skills, with the ability to troubleshoot and resolve complex frontend issues effectively.
Solid understanding of data structures and algorithms, applying them to optimize frontend performance.
Demonstrated experience in designing and implementing scalable and maintainable code architectures for web applications.
Familiarity with responsive design principles and cross-browser compatibility.
Experience with version control systems (e.g., Git) and frontend build tools (e.g., Webpack).
Excellent collaboration and communication skills, working seamlessly with cross-functional teams including designers and back-end engineers.
A portfolio of previous frontend projects or contributions showcasing your problem-solving and code architecture skills is a plus.",,"['team', 'interactive entertainment', 'strong problem', 'responsible', 'solving skills', 'modern frontend frameworks', 'gaming products', 'version control systems', 'related field', 'maintainable code architectures', 'proficiency', 'solid understanding', 'ability', 'contributions showcasing', 'pivotal role', 'optimize frontend performance', 'demonstrated experience', 'familiarity', 'working seamlessly', 'g ., webpack ).', 'level', 'designing', 'create immersive gaming experiences', 'applying', 'code architecture skills', 'experience', 'software engineering', 'shape', 'frontend build tools', 'troubleshoot', 'js', 'communication skills', 'g ., git', 'passion', 'data structures', 'gaming', 'passionate game developers', 'javascript', 'html', 'player engagement', 'responsive design principles', 'resolve complex frontend issues effectively', 'previous frontend projects', 'implementing captivating user interfaces', 'degree', 'crafting', 'excellent collaboration', 'artists', 'future', 'apply', 'vue', 'e', 'end engineers', 'cross', 'browser compatibility', 'problem', 'plus', 'join', 'top gaming studio', 'css', 'key member', 'implementing scalable', 'algorithms', 'career today', 'portfolio', 'frontend developer', 'nan', 'angular', 'collaborate', 'react', 'enhance gameplay', 'expertise', 'bachelor', 'back', 'functional teams including designers', 'computer science', 'play', 'web applications', 'visual experience', 'solving', 'creative coder']"
Backend Developer,We are currently hiring a Python Developer to join our engineering team to support dynamic software applications and contribute to feature development in existing systems.,"Minimum  2+  years of experience in software product development preferably in python stack.

Solid understanding of Python Language.

Prior experience in writing REST APIs and working with Microservices architecture.

Working knowledge of Django and Django REST framework

Good understanding of Database systems referable PostgreSQL  and prior experience with Django ORM.

Understanding of fundamental design principles behind a scalable application.

Experience writing process automation scripts using python.

Experience in debugging and monitoring logs using AWS Cloudwatch and Kibana (ELK stack).

Knowledge of cloud based development and familiarity with AWS services like S3, Cloudwatch, ECS, Fargate etc is a plus.

Knowledge of  Flask framework is a plus.

Basic Knowledge of Frontend technologies like HTML, CSS, JS, and ReactJS is a plus.",,"['join', 'python language', 'scalable application', 'ecs', 'python stack', 'knowledge', 'django', 'css', 'frontend technologies like html', 'monitoring logs using aws cloudwatch', 'elk stack ).', 'cloud based development', 'contribute', 'reactjs', 'basic knowledge', 'fundamental design principles behind', 'experience', 'nan', 'feature development', 'software product development preferably', 'django orm', 'experience writing process automation scripts using python', 'writing rest apis', 'minimum 2', 'support dynamic software applications', 'prior experience', 'database systems referable postgresql', 'flask framework', 'solid understanding', 'microservices architecture', 'fargate etc', 'django rest framework good understanding', 'working knowledge', 'js', 'kibana', 'debugging', 'working', 'existing systems', 'plus', 'familiarity', 'engineering team', 'aws services like s3', 'currently hiring', 'years', 'cloudwatch', 'understanding', 'python developer']"
Full Stack Mobile Application Developer,"We are looking for a hybrid Mobile Application developer with hands on experience in Flutter, Python, Django, Postgresql, & connecting API’s from Freight Brokers & Load boards. Must be experienced and preferably with Logistics & Load board applications. Opportunity to grow with company into leadership position and a chance for equity in high growth Technology start up backed by Techstars."," B.Tech. Computer Science/M.C.A.
 Minimum 3 years of experience in Mobile Application Development in IOS & Android .
 Minimum 3 year of experience in Flutter Development
 Experience in Python with knowledge of Django & Postgresql will be preferred.
 Able to integrate multiple data sources and databases into one system
 Understanding of the threading and multiprocessing
 Experience with AWS will be preferred
 Knowledge of Git, GitHub & Devops",,"['preferably', 'integrate multiple data sources', 'databases', 'knowledge', 'high growth technology start', 'django', 'flutter', 'mobile application development', 'must', 'tech', 'devops', 'hands', 'grow', 'aws', 'b', 'load boards', 'company', 'experienced', 'flutter development experience', 'experience', 'minimum 3 year', 'preferred', 'github', 'multiprocessing experience', 'nan', 'connecting api ’', 'techstars', 'logistics', 'hybrid mobile application developer', 'backed', 'threading', 'load board applications', 'ios', 'looking', 'preferred knowledge', 'c', 'android', 'git', 'equity', 'postgresql', 'opportunity', 'computer science', 'leadership position', 'freight brokers', 'chance', 'minimum 3 years', 'able', 'python', 'one system understanding']"
Associate Software Engineer,"We are seeking a motivated and talented Associate Software Engineer Intern with a focus on HTML5, CSS3, JavaScript, PHP, MYSQL, Relational Databases, and ReactJS. This internship provides hands-on experience working with cutting-edge technologies, collaborating with cross-functional teams, and gaining exposure to various aspects of software engineering.","Enthusiastic and eager to learn about software engineering in a professional setting.
 Strong problem-solving and critical-thinking skills.
 Ability to work independently and collaborate effectively in a team environment.
 Excellent communication skills, both written and verbal."," Bachelor's degree or higher in Computer Science, or similar fields.
 Solid foundation in HTML5, CSS3, and JavaScript.
 Proficiency in PHP and experience with MYSQL and Relational Databases.
 Familiarity with ReactJS is a plus.
 Ability to work independently and in a team.
 Excellent communication and problem-solving skills.
 ""Think outside the box"" mentality.","['enthusiastic', 'talented associate software engineer intern', 'solid foundation', 'javascript', 'team', 'thinking skills', 'box', 'strong problem', 'similar fields', 'reactjs', 'team environment', 'eager', 'experience', 'solving skills', 'software engineering', 'css3', 'collaborate effectively', 'gaining exposure', 'functional teams', 'higher', 'seeking', 'critical', 'degree', 'experience working', 'mentality', 'learn', 'proficiency', 'excellent communication skills', 'professional setting', 'written', 'ability', 'think outside', 'bachelor', 'cutting', 'motivated', 'excellent communication', 'mysql', 'computer science', 'edge technologies', 'cross', 'problem', 'work independently', 'collaborating', 'plus', 'various aspects', 'html5', 'familiarity', 'focus', 'solving', 'php', 'relational databases', 'internship provides hands', 'verbal']"
Data Scientist,"As a Data Scientist, you will collaborate closely with product design and engineering teams to comprehend their needs, researching and devising innovative statistical models for data analysis. Your primary responsibility will be to build and integrate these models into our product, communicating your findings to all stakeholders. Staying abreast of technical and industry developments is crucial to contribute effectively.","Bachelor’s degree (or equivalent) in statistics, technology, applied mathematics, or related discipline.
Professional certification
3-5 years of experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced experience in pattern recognition and predictive modeling
Experience with Excel, PowerPoint, SQL, and Python
Experience in building data science models using Spacy, BERT, Ahocorasick, random forest etc.
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects.","Bachelor’s degree (or equivalent) in statistics, technology, applied mathematics, or related discipline.
Professional certification
3-5 years of experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced experience in pattern recognition and predictive modeling
Experience with Excel, PowerPoint, SQL, and Python
Experience in building data science models using Spacy, BERT, Ahocorasick, random forest etc.
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects.","['powerpoint', 'models', 'product', 'devising innovative statistical models', 'ahocorasick', 'bachelor ’', 'comprehend', 'findings', 'experience', 'bert', 'mathematics', 'primary responsibility', 'industry developments', 'integrate', 'crucial', 'stakeholders', 'predictive modeling experience', 'oriented group', 'research', 'contribute effectively', 'needs', 'data mining', 'engineering teams', 'work effectively', 'technology', 'pattern recognition', 'data science proficiency', 'degree', 'several concurrent projects', 'python experience', 'ability', 'sql', 'random forest etc', 'related discipline', 'excel', 'collaborate closely', 'build', 'researching', 'product design', 'dynamic', 'equivalent', 'technical', 'data analysis', 'communicating', 'professional certification 3', 'applied mathematics', '5 years', 'staying abreast', 'statistics', 'building data science models using spacy', 'data scientist', 'statistical analysis advanced experience']"
Machine Learning Engineer,"Concord isn't your typical consulting firm; we are an execution company with a passion for making things happen. Our mission is to help clients enhance customer experiences, optimize operations, and revolutionize their product offerings through seamless integration, optimization, and activation of technology and data.


We're on the lookout for a highly skilled and talented Machine Learning Engineer to join our growing team.","Undergraduate or Graduate degree (MS or PhD) in Computer Science, Engineering, Mathematics or equivalent, specializing in machine learning or a related field
• 5+ years’ experience in supporting development of production-ready solutions leveraging AI technologies: NLP, Deep Learning, Machine Learning
• Strong hands-on expertise in Python and open source libraries/frameworks/tools such as NumPy, SciPy, scikit-learn, pandas, matplotlib, spaCy, NLTK, jupyter, anaconda, transformers, etc.
• Experience with deep learning frameworks such as TensorFlow, Keras, PyTorch
• Experience in applying deep learning to NLP
• Computer vision modeling a plus
• Experience with designing, building, and optimizing data and model training pipelines
• Experience in SageMaker or Azure ML Studio a plus
• Experience with cloud-based platforms (AWS or Azure) for solution delivery
• Experience working with agile and Software Development Lifecycle tools (e.g. JIRA, Confluence, Git) and Test-Driven Development (TDD)",,"['making things happen', 'talented machine learning engineer', 'jupyter', 'optimizing data', 'seamless integration', 'spacy', 'scikit', 'related field • 5', 'production', 'scipy', 'git', 'concord', 'machine learning', 'deep learning frameworks', 'tensorflow', 'tdd', 'supporting development', 'nlp • computer vision modeling', 'python', 'graduate degree', 'optimize operations', 'lookout', 'aws', 'designing', 'machine learning • strong hands', 'engineering', 'mathematics', 'optimization', 'frameworks', 'azure ml studio', 'mission', 'sagemaker', 'pytorch • experience', 'keras', 'revolutionize', '• experience', 'numpy', 'equivalent', 'passion', 'activation', 'plus • experience', 'pandas', 'specializing', 'confluence', 'data', 'etc', 'open source libraries', 'help clients enhance customer experiences', 'ms', 'phd', 'model training pipelines • experience', 'cloud', 'g', 'ready solutions leveraging ai technologies', 'azure', 'e', 'nltk', 'highly skilled', 'jira', 'matplotlib', 'deep learning', 'based platforms', 'building', 'applying deep learning', 'join', 'execution company', 'product offerings', 'test', 'anaconda', 'typical consulting firm', 'nan', 'solution delivery • experience working', 'technology', 'transformers', 'learn', 'nlp', 'agile', 'expertise', 'years ’ experience', 'software development lifecycle tools', 'driven development', 'computer science', 'growing team', 'tools', 'undergraduate']"
Data Science Trainee,"This is a temporary remote learning role for a Data Science Trainee. The role will involve working with the HRBOTICS team to identify trends in data and develop predictive models to improve talent discovery, sourcing, and management. The Trainee will also collaborate with cross-functional teams to implement and deploy these models.","Bachelor's degree or higher in Computer Science, Mathematics, or related technical field
Basic understanding of machine learning algorithms, data structures, and statistics
Proficient in Python and SQL
Familiarity with data visualization tools such as Tableau or PowerBI
Excellent analytical and problem-solving skills
Effective communication and collaboration skills
Ability to work independently and in a team",,"['models', 'also collaborate', 'team', 'involve working', 'data', 'trainee', 'management', 'solving skills effective communication', 'mathematics', 'nan', 'functional teams', 'tableau', 'higher', 'sql familiarity', 'temporary remote learning role', 'degree', 'develop predictive models', 'data science trainee', 'improve talent discovery', 'statistics proficient', 'machine learning algorithms', 'identify trends', 'bachelor', 'collaboration skills ability', 'powerbi excellent analytical', 'computer science', 'cross', 'problem', 'implement', 'work independently', 'data visualization tools', 'sourcing', 'data structures', 'hrbotics team', 'related technical field basic understanding', 'python', 'deploy', 'role']"
Data Scientist,"Our client is seeking a highly motivated and experienced Senior Data Scientist to join our growing team and play a key role in developing and deploying machine learning models to support their platform. 

The candidate needs to possess deep expertise in data science methodologies, machine learning, and natural language processing, and will have a proven track record of successfully training and deploying models, in particular large language models (LLMs), to production. 

Also, will also be able to effectively communicate your findings to both technical and non-technical audiences.","Qualification in a relevant field (e.g., computer science, mathematics, engineering, etc) - Master's degree or PhD preferred.
8+ years of experience working in data science
Proven experience training and deploying machine learning models to production
Experience training and deploying large language models (LLMs)
Strong programming skills in Python
Experience with cloud computing platforms (e.g., AWS, Azure, GCP)
Excellent communication skills
Ability to work independently and as part of a team
Experience working in a product focused role (preferred)
Strong problem-solving and analytical skills.",,"['join', 'relevant field', 'platform', 'technical audiences', 'excellent communication skills ability', 'team experience working', 'strong problem', 'deploying machine learning models', 'deploying models', 'etc', 'support', 'key role', 'findings', 'llms ),', 'master', 'preferred', 'engineering', '8', 'mathematics', 'nan', 'analytical skills', 'candidate needs', 'possess deep expertise', 'seeking', 'data science proven experience training', 'proven track record', 'developing', 'degree', 'experience working', 'phd preferred', 'client', 'qualification', 'python experience', 'highly motivated', 'azure', 'production', 'g ., computer science', 'also', 'experienced senior data scientist', 'deploying large language models', 'successfully training', 'machine learning', 'particular large language models', 'e', 'gcp', 'technical', 'play', 'data science methodologies', 'cloud computing platforms', 'non', 'work independently', 'production experience training', 'g ., aws', 'strong programming skills', 'solving', 'part', 'product focused role', 'growing team', 'natural language processing', 'able', 'years', 'llms', 'effectively communicate']"
Software developer,"We are seeking a dedicated and experienced Software Developer to join our dynamic team. In this role, you will be working on our proprietary framework and language, contributing to the development of innovative solutions that drive our business. To prepare you for this unique opportunity, you will participate in our comprehensive, intensive Coding Training Program designed to enhance your logical thinking, problem-solving, and coding skills.","1. Bachelor's degree in Computer Science, Information Technology, or a related field.
2. Minimum of 2+ years of experience in software development or coding-related jobs.
3. Active coding for the last 6 months.
4. Previous experience in competitive coding, preferably with a proven track record on platforms like HackerRank, Codeforces, Codechef, hackerearth or LeetCode.

5. Participation in coding bootcamps, hackathons, or similar coding competitions is highly desirable.
6. Proficiency in at least one programming language such as C, C++, C#, or Java.
7. Strong problem-solving skills and knowledge of data structures and algorithms.
8. Excellent communication skills, with the ability to explain complex concepts in a clear and concise manner.
9. Good stakeholder management skills, with the ability to manage expectations and communicate effectively with various stakeholders.
10. A strong desire to learn and improve coding skills, with a commitment to personal and professional development.",,"['strong problem', 'good stakeholder management skills', 'java', 'coding skills', '8', 'solving skills', 'related field', 'proprietary framework', 'minimum', 'proficiency', 'hackathons', 'ability', '4', 'c', '10', 'contributing', 'professional development', 'last 6 months', 'preferably', 'knowledge', 'comprehensive', 'experience', '3', 'explain complex concepts', 'various stakeholders', 'c ++, c #,', 'platforms like hackerrank', 'language', 'codeforces', 'business', 'software development', 'codechef', '7', 'concise manner', 'participate', 'communicate effectively', 'competitive coding', 'data structures', 'manage expectations', '1', 'role', 'participation', 'least one programming language', '2', 'dedicated', 'personal', 'prepare', 'development', 'degree', 'clear', 'coding', '5', 'dynamic team', 'related jobs', 'hackerearth', 'problem', 'enhance', 'intensive coding training program designed', 'years', 'join', '9', 'commitment', 'algorithms', 'previous experience', 'nan', 'innovative solutions', 'highly desirable', 'seeking', 'active coding', 'proven track record', 'drive', 'strong desire', 'experienced software developer', 'leetcode', 'learn', 'excellent communication skills', 'unique opportunity', 'bachelor', 'improve coding skills', 'similar coding competitions', 'working', 'computer science', 'coding bootcamps', '6', 'solving', 'logical thinking', 'information technology']"
Data Analytics Engineer,"As a member of the global data engineering team, reporting to the Data and Analytics Manager, this role has a primary focus on contributing to our enterprise data warehousing and reporting deliverables.


Responsibilities include designing, creating, and maintaining business intelligence assets and reports that drive innovation, client value and business efficiency.


This position will be working across our largest business units and experience with multi-terabyte database systems is required.
","Experienced level knowledge - Business Intelligence/reporting tools including Microsoft SQL, SRSS, SSIS, SSAS, Power BI, DAX.
Adept at designing and implementing effective data models and Extract, Transform, Load (ETL) processes slowly changing dimensions for transforming and loading data into the data warehouse.
Experience incorporating data from varied relational systems (e.g. MySQL, Postgres etc), flat-file, API, and No-SQL sources.
Understanding of data governance practices, data lineage, and data quality management to ensure accurate, consistent, and reliable data.
Familiarity with cloud base tooling – Snowflake, DBT or Coalesce, Fivetran.
BA/BS degree in Computer Science, Computer Engineering, or related field, or equivalent practical experience.",,"['reporting deliverables', 'load', 'api', 'creating', 'computer engineering', 'data', 'position', 'reporting', 'bs degree', 'business intelligence', 'designing', 'dax', 'experience', 'global data engineering team', 'analytics manager', 'implementing effective data models', 'nan', 'ssis', 'srss', 'experienced level knowledge', 'required', 'ensure accurate', 'transform', 'drive innovation', 'consistent', 'related field', 'business efficiency', 'data governance practices', 'g', 'dbt', 'data warehouse', 'equivalent practical experience', 'fivetran', 'client value', 'enterprise data warehousing', 'extract', 'maintaining business intelligence assets', 'reliable data', 'contributing', 'power bi', 'ssas', 'member', 'cloud base tooling – snowflake', 'e', 'reporting tools including microsoft sql', 'varied relational systems', 'loading data', 'mysql', 'etl', 'primary focus', 'computer science', 'postgres etc ), flat', 'file', 'transforming', 'adept', 'terabyte database systems', 'familiarity', 'data lineage', 'reports', 'experience incorporating data', 'sql sources', 'working across', 'processes slowly changing dimensions', 'data quality management', 'coalesce', 'ba', 'responsibilities include designing', 'largest business units', 'understanding', 'role', 'multi']"
